Value,Address,Address2,Date,Time,Date2,Time2,Case,Original_URL,Source,Atty,Atty_Contact,Address3,City,StateZip,State,Postal,County,Extra2
,221 Irish Hill Dr,"Meridianville, AL 35759, Madison County",2025-07-31,11:00 am,,,25-01511-GM-A...,https://www.auction.com/details/221-irish-hill-dr-meridianville-al-1770900,Auction.com,"Tiffany & Bosco, P.A.",(205) 930-5200,"Meridianville, AL 35759, Madison County",Meridianville,AL 35759,AL,35759, Madison County,
,5853 Spyglass Drive,"Mobile, AL 36618, Mobile County",2025-07-31,11:00 am,,,24-40241-WF-A...,https://www.auction.com/details/5853-spyglass-dr-mobile-al-1780635,Auction.com,"Tiffany & Bosco, P.A.",(205) 930-5200,"Mobile, AL 36618, Mobile County",Mobile,AL 36618,AL,36618, Mobile County,
,2460 Osage St,"Mobile, AL 36617, Mobile County",2025-07-31,11:00 am,,,24-35760-FC01,https://www.auction.com/details/2460-osage-st-mobile-al-1783023,Auction.com,Brock and Scott PLLC,(205) 988-4202,"Mobile, AL 36617, Mobile County",Mobile,AL 36617,AL,36617, Mobile County,
,966 Via Plata,"Rio Rico, AZ 85648, Santa Cruz County",2025-07-31,11:00 am,,,25-40204-WF-A...,https://www.auction.com/details/966-via-plata-rio-rico-az-1741719,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Rio Rico, AZ 85648, Santa Cruz County",Rio Rico,AZ 85648,AZ,85648, Santa Cruz County,
,367 Paseo Picamaderos,"Rio Rico, AZ 85648, Santa Cruz County",2025-07-31,11:00 am,,,AZ-24-1002649...,https://www.auction.com/details/367-paseo-picamaderos-rio-rico-az-1775726,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Rio Rico, AZ 85648, Santa Cruz County",Rio Rico,AZ 85648,AZ,85648, Santa Cruz County,
,177 Dee Ct,"Rio Rico, AZ 85648, Santa Cruz County",2025-07-31,11:00 am,,,25-40029-WF-A...,https://www.auction.com/details/177-dee-ct-rio-rico-az-1776536,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Rio Rico, AZ 85648, Santa Cruz County",Rio Rico,AZ 85648,AZ,85648, Santa Cruz County,
,54 Camino Olympia,"Rio Rico, AZ 85648, Santa Cruz County",2025-07-31,11:00 am,,,AZ07000319-24,https://www.auction.com/details/54-camino-olympia-rio-rico-az-1776896,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Rio Rico, AZ 85648, Santa Cruz County",Rio Rico,AZ 85648,AZ,85648, Santa Cruz County,
,238 Montana Ave,"Missoula, MT 59802-5436, Missoula County",2025-07-31,11:00 am,,,53320,https://www.auction.com/details/238-montana-ave-missoula-mt-1706262,Auction.com,"Halliday, Watkins and Mann, P.C.",(801) 355-2886,"Missoula, MT 59802-5436, Missoula County",Missoula,MT 59802-5436,MT,59802-5436, Missoula County,
,7669 Knobdate Rd,"Smyrna, TN 37167, Rutherford County",2025-07-31,11:00 am,,,25-08114-FC01,https://www.auction.com/details/7669-knobdate-rd-smyrna-tn-1754668,Auction.com,Brock and Scott PLLC,(615) 550-7697,"Smyrna, TN 37167, Rutherford County",Smyrna,TN 37167,TN,37167, Rutherford County,
,2815 Leatherwood Drive,"Murfreesboro, TN 37128, Rutherford County",2025-07-31,11:00 am,,,361690,https://www.auction.com/details/2815-leatherwood-dr-murfreesboro-tn-1754671,Auction.com,Wilson and Associates PLLC,(901) 578-9914,"Murfreesboro, TN 37128, Rutherford County",Murfreesboro,TN 37128,TN,37128, Rutherford County,
,1438 Tomahawk Trace,"Murfreesboro, TN 37129, Rutherford County",2025-07-31,11:00 am,,,362370,https://www.auction.com/details/1438-tomahawk-trce-murfreesboro-tn-1784334,Auction.com,Wilson and Associates PLLC,(901) 578-9914,"Murfreesboro, TN 37129, Rutherford County",Murfreesboro,TN 37129,TN,37129, Rutherford County,
,18345 W Danbury Street,"Casa Grande, AZ 85193, Pinal County",2025-07-31,10:00 am,,,AZ07000273-24,https://www.auction.com/details/18345-w-danbury-st-casa-grande-az-1759180,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Casa Grande, AZ 85193, Pinal County",Casa Grande,AZ 85193,AZ,85193, Pinal County,
,3555 N Kiva Cir,"Eloy, AZ 85131, Pinal County",2025-07-31,10:00 am,,,AZ07000134-25,https://www.auction.com/details/3555-n-kiva-cir-eloy-az-1739619,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Eloy, AZ 85131, Pinal County",Eloy,AZ 85131,AZ,85131, Pinal County,
,4240 S Celebration Drive,"Gold Canyon, AZ 85118, Pinal County",2025-07-31,10:00 am,,,AZ-25-1011184...,https://www.auction.com/details/4240-s-celebration-dr-gold-canyon-az-1739874,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Gold Canyon, AZ 85118, Pinal County",Gold Canyon,AZ 85118,AZ,85118, Pinal County,
,14935 W Buttonwood Dr,"Sun City West, AZ 85375, Maricopa County",2025-07-31,10:00 am,,,AZ-25-1013068...,https://www.auction.com/details/14935-w-buttonwood-dr-sun-city-west-az-1739877,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Sun City West, AZ 85375, Maricopa County",Sun City West,AZ 85375,AZ,85375, Maricopa County,
,461 W Kennedy Ave,"Coolidge, AZ 85228, Pinal County",2025-07-31,10:00 am,,,25-03992-SM-A...,https://www.auction.com/details/461-w-kennedy-ave-coolidge-az-1739963,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Coolidge, AZ 85228, Pinal County",Coolidge,AZ 85228,AZ,85228, Pinal County,
,4140 E Nancy Ln,"Phoenix, AZ 85042, Maricopa County",2025-07-31,10:00 am,,,AZ05000044-25,https://www.auction.com/details/4140-e-nancy-ln-phoenix-az-1740018,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Phoenix, AZ 85042, Maricopa County",Phoenix,AZ 85042,AZ,85042, Maricopa County,
,12418 W Cameron Drive,"El Mirage, AZ 85335, Maricopa County",2025-07-31,10:00 am,,,183274,https://www.auction.com/details/12418-w-cameron-dr-el-mirage-az-1740093,Auction.com,Prime Recon LLC,(888) 725-4142,"El Mirage, AZ 85335, Maricopa County",El Mirage,AZ 85335,AZ,85335, Maricopa County,
,37047 W Leonessa Ave,"Maricopa, AZ 85138, Pinal County",2025-07-31,10:00 am,,,25-40203-WF-A...,https://www.auction.com/details/37047-w-leonessa-ave-maricopa-az-1741215,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Maricopa, AZ 85138, Pinal County",Maricopa,AZ 85138,AZ,85138, Pinal County,
,479 W Leah Ave,"Gilbert, AZ 85233, Maricopa County",2025-07-31,10:00 am,,,AZ-25-1012980...,https://www.auction.com/details/479-w-leah-ave-gilbert-az-1741507,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Gilbert, AZ 85233, Maricopa County",Gilbert,AZ 85233,AZ,85233, Maricopa County,
,22994 W Solano Dr,"Buckeye, AZ 85326, Maricopa County",2025-07-31,10:00 am,,,AZ07000145-25,https://www.auction.com/details/22994-w-solano-dr-buckeye-az-1741702,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Buckeye, AZ 85326, Maricopa County",Buckeye,AZ 85326,AZ,85326, Maricopa County,
,7551 W Pioneer St,"Phoenix, AZ 85043, Maricopa County",2025-07-31,10:00 am,,,AZ07000116-23,https://www.auction.com/details/7551-w-pioneer-st-phoenix-az-1742164,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Phoenix, AZ 85043, Maricopa County",Phoenix,AZ 85043,AZ,85043, Maricopa County,
,3712 W Lupine Ave,"Phoenix, AZ 85029, Maricopa County",2025-07-31,10:00 am,,,AZ07000120-25,https://www.auction.com/details/3712-w-lupine-ave-phoenix-az-1742166,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Phoenix, AZ 85029, Maricopa County",Phoenix,AZ 85029,AZ,85029, Maricopa County,
,3738 E Amelia Ave,"Phoenix, AZ 85018, Maricopa County",2025-07-31,10:00 am,,,AZ05000114-24,https://www.auction.com/details/3738-e-amelia-ave-phoenix-az-1742816,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Phoenix, AZ 85018, Maricopa County",Phoenix,AZ 85018,AZ,85018, Maricopa County,
,8942 N 102nd Ln,"Peoria, AZ 85345, Maricopa County",2025-07-31,10:00 am,,,25-04121-CE-A...,https://www.auction.com/details/8942-n-102nd-ln-peoria-az-1743281,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Peoria, AZ 85345, Maricopa County",Peoria,AZ 85345,AZ,85345, Maricopa County,
,1870 North Logan Lane,"Casa Grande, AZ 85122, Pinal County",2025-07-31,10:00 am,,,25-04242-PM-A...,https://www.auction.com/details/1870-n-logan-ln-casa-grande-az-1743295,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Casa Grande, AZ 85122, Pinal County",Casa Grande,AZ 85122,AZ,85122, Pinal County,
,17828 West Calavar Road,"Surprise, AZ 85388, Maricopa County",2025-07-31,10:00 am,,,48188311,https://www.auction.com/details/17828-w-calavar-rd-surprise-az-1743502,Auction.com,"IDEA Law Group, LLC",(877) 353-2146,"Surprise, AZ 85388, Maricopa County",Surprise,AZ 85388,AZ,85388, Maricopa County,
,11759 E Becker Ln,"Scottsdale, AZ 85259, Maricopa County",2025-07-31,10:00 am,,,25-04303-QQ-A...,https://www.auction.com/details/11759-e-becker-ln-scottsdale-az-1744513,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Scottsdale, AZ 85259, Maricopa County",Scottsdale,AZ 85259,AZ,85259, Maricopa County,
,1629 West Gila Lane,"Chandler, AZ 85224, Maricopa County",2025-07-31,10:00 am,,,24-034528,https://www.auction.com/details/1629-w-gila-ln-chandler-az-1744887,Auction.com,First American Title Insurance Co.,(623) 537-1608,"Chandler, AZ 85224, Maricopa County",Chandler,AZ 85224,AZ,85224, Maricopa County,
,577 E Goldmine Ln,"San Tan Valley, AZ 85140, Pinal County",2025-07-31,10:00 am,,,AZ09000026-24,https://www.auction.com/details/577-e-goldmine-ln-san-tan-valley-az-1745208,Auction.com,TRUSTEE CORPS,(949) 252-8300,"San Tan Valley, AZ 85140, Pinal County",San Tan Valley,AZ 85140,AZ,85140, Pinal County,
,36007 N 10th Ave,"Phoenix, AZ 85086, Maricopa County",2025-07-31,10:00 am,,,AZ08000105-24,https://www.auction.com/details/36007-n-10th-ave-phoenix-az-1745216,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Phoenix, AZ 85086, Maricopa County",Phoenix,AZ 85086,AZ,85086, Maricopa County,
,2150 E Bell Rd Unit 1063,"Phoenix, AZ 85022, Maricopa County",2025-07-31,10:00 am,,,180836,https://www.auction.com/details/2150-e-bell-rd-phoenix-az-1745648,Auction.com,Prime Recon LLC,(888) 725-4142,"Phoenix, AZ 85022, Maricopa County",Phoenix,AZ 85022,AZ,85022, Maricopa County,
,7440 E Clovis Cir,"Mesa, AZ 85208, Maricopa County",2025-07-31,10:00 am,,,22-09098,https://www.auction.com/details/7440-e-clovis-cir-mesa-az-1745757,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Mesa, AZ 85208, Maricopa County",Mesa,AZ 85208,AZ,85208, Maricopa County,
,7927 N 86th Ln,"Glendale, AZ 85305, Maricopa County",2025-07-31,10:00 am,,,25-74183,https://www.auction.com/details/7927-n-86th-ln-glendale-az-1747682,Auction.com,"ZBS Law, LLP",(602) 282-6188,"Glendale, AZ 85305, Maricopa County",Glendale,AZ 85305,AZ,85305, Maricopa County,
,23043 S 231st Pl,"Queen Creek, AZ 85142, Maricopa County",2025-07-31,10:00 am,,,25-00389-DM-A...,https://www.auction.com/details/23043-s-231st-pl-queen-creek-az-1748885,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Queen Creek, AZ 85142, Maricopa County",Queen Creek,AZ 85142,AZ,85142, Maricopa County,
,17429 E Chestnut Dr,"Queen Creek, AZ 85142, Maricopa County",2025-07-31,10:00 am,,,22-08831,https://www.auction.com/details/17429-e-chestnut-dr-queen-creek-az-1750814,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Queen Creek, AZ 85142, Maricopa County",Queen Creek,AZ 85142,AZ,85142, Maricopa County,
,1811 S 39th St,"Mesa, AZ 85206, Maricopa County",2025-07-31,10:00 am,,,24-09323-QQ-A...,https://www.auction.com/details/1811-s-39th-st-mesa-az-1751143,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Mesa, AZ 85206, Maricopa County",Mesa,AZ 85206,AZ,85206, Maricopa County, Unit 11
,15875 West Desert Mirage Drive,"Surprise, AZ 85379, Maricopa County",2025-07-31,10:00 am,,,AZ-17-770899-...,https://www.auction.com/details/15875-w-desert-mirage-dr-surprise-az-1753134,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Surprise, AZ 85379, Maricopa County",Surprise,AZ 85379,AZ,85379, Maricopa County,
,3002 N 305th Dr,"Buckeye, AZ 85396, Maricopa County",2025-07-31,10:00 am,,,179645,https://www.auction.com/details/3002-n-305th-dr-buckeye-az-1755991,Auction.com,"The Mortgage Law Firm, PC.",(619) 465-8200,"Buckeye, AZ 85396, Maricopa County",Buckeye,AZ 85396,AZ,85396, Maricopa County,
,13321 W Palo Verde Dr,"Litchfield Park, AZ 85340, Maricopa County",2025-07-31,10:00 am,,,24-07718-PM-A...,https://www.auction.com/details/13321-w-palo-verde-dr-litchfield-park-az-1756267,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Litchfield Park, AZ 85340, Maricopa County",Litchfield Park,AZ 85340,AZ,85340, Maricopa County,
,22248 West Shadow Drive,"Buckeye, AZ 85326, Maricopa County",2025-07-31,10:00 am,,,24-02786-LC-A...,https://www.auction.com/details/22248-w-shadow-dr-buckeye-az-1757059,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Buckeye, AZ 85326, Maricopa County",Buckeye,AZ 85326,AZ,85326, Maricopa County,
,28654 N Olivine Ct,"San Tan Valley, AZ 85143, Pinal County",2025-07-31,10:00 am,,,24-09838-DM-A...,https://www.auction.com/details/28654-n-olivine-ct-san-tan-valley-az-1759342,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"San Tan Valley, AZ 85143, Pinal County",San Tan Valley,AZ 85143,AZ,85143, Pinal County,
,13724 West Banff Lane,"Surprise, AZ 85379, Maricopa County",2025-07-31,10:00 am,,,179566,https://www.auction.com/details/13724-w-banff-ln-surprise-az-1765200,Auction.com,"The Mortgage Law Firm, PC.",(619) 465-8200,"Surprise, AZ 85379, Maricopa County",Surprise,AZ 85379,AZ,85379, Maricopa County,
,8702 N Shadow Ln,"Peoria, AZ 85345, Maricopa County",2025-07-31,10:00 am,,,179569,https://www.auction.com/details/8702-n-shadow-ln-peoria-az-1765263,Auction.com,Prime Recon LLC,(888) 725-4142,"Peoria, AZ 85345, Maricopa County",Peoria,AZ 85345,AZ,85345, Maricopa County,
,18092 W Paseo Way,"Goodyear, AZ 85338, Maricopa County",2025-07-31,10:00 am,,,25-00728-NS-A...,https://www.auction.com/details/18092-w-paseo-way-goodyear-az-1765681,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Goodyear, AZ 85338, Maricopa County",Goodyear,AZ 85338,AZ,85338, Maricopa County,
,16730 N 114th Drive,"Surprise, AZ 85378, Maricopa County",2025-07-31,10:00 am,,,25-02562-NS-A...,https://www.auction.com/details/16730-n-114th-dr-surprise-az-1765748,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Surprise, AZ 85378, Maricopa County",Surprise,AZ 85378,AZ,85378, Maricopa County,
,2801 East Monte Vista Road,"Phoenix, AZ 85008, Maricopa County",2025-07-31,10:00 am,,,25-03318-NS-A...,https://www.auction.com/details/2801-e-monte-vista-rd-phoenix-az-1765789,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Phoenix, AZ 85008, Maricopa County",Phoenix,AZ 85008,AZ,85008, Maricopa County,
,28729 N 107th St,"Scottsdale, AZ 85262, Maricopa County",2025-07-31,10:00 am,,,AZ-24-987271-...,https://www.auction.com/details/28729-n-107th-st-scottsdale-az-1765832,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Scottsdale, AZ 85262, Maricopa County",Scottsdale,AZ 85262,AZ,85262, Maricopa County,
,1844 S 80th Pl,"Mesa, AZ 85209, Maricopa County",2025-07-31,10:00 am,,,129037-AZ,https://www.auction.com/details/1844-s-80th-pl-mesa-az-1765863,Auction.com,Aldridge Pite LLP,(858) 750-7777,"Mesa, AZ 85209, Maricopa County",Mesa,AZ 85209,AZ,85209, Maricopa County,
,27234 North 175th Drive,"Surprise, AZ 85387, Maricopa County",2025-07-31,10:00 am,,,24-009195,https://www.auction.com/details/27234-n-175th-dr-surprise-az-1766490,Auction.com,America West Lender Services,(844) 693-4761,"Surprise, AZ 85387, Maricopa County",Surprise,AZ 85387,AZ,85387, Maricopa County,
,1145 E Whitton Ave #1007,"Phoenix, AZ 85014, Maricopa County",2025-07-31,10:00 am,,,24-038457,https://www.auction.com/details/1145-e-whitton-ave-phoenix-az-1766511,Auction.com,America West Lender Services,(844) 693-4761,"Phoenix, AZ 85014, Maricopa County",Phoenix,AZ 85014,AZ,85014, Maricopa County,
,2201 W Redwood Dr,"Chandler, AZ 85248, Maricopa County",2025-07-31,10:00 am,,,24-035455,https://www.auction.com/details/2201-w-redwood-dr-chandler-az-1766540,Auction.com,America West Lender Services,(844) 693-4761,"Chandler, AZ 85248, Maricopa County",Chandler,AZ 85248,AZ,85248, Maricopa County,
,797 W Desert Hollow Dr,"San Tan Valley, AZ 85143, Pinal County",2025-07-31,10:00 am,,,127582-AZ,https://www.auction.com/details/797-w-desert-hollow-dr-san-tan-valley-az-1766640,Auction.com,Aldridge Pite LLP,(858) 750-7777,"San Tan Valley, AZ 85143, Pinal County",San Tan Valley,AZ 85143,AZ,85143, Pinal County,
,31839 N Redding St,"Wittmann, AZ 85361, Maricopa County",2025-07-31,10:00 am,,,25-001640,https://www.auction.com/details/31839-n-redding-st-wittmann-az-1766811,Auction.com,America West Lender Services,(844) 693-4761,"Wittmann, AZ 85361, Maricopa County",Wittmann,AZ 85361,AZ,85361, Maricopa County,
,43271 W Little Dr,"Maricopa, AZ 85138, Pinal County",2025-07-31,10:00 am,,,25-02640-LC-A...,https://www.auction.com/details/43271-w-little-dr-maricopa-az-1774511,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Maricopa, AZ 85138, Pinal County",Maricopa,AZ 85138,AZ,85138, Pinal County,
,6519 E Rolling Ridge Rd,"San Tan Valley, AZ 85140, Pinal County",2025-07-31,10:00 am,,,25-002996,https://www.auction.com/details/6519-e-rolling-ridge-rd-san-tan-valley-az-1775509,Auction.com,America West Lender Services,(844) 693-4761,"San Tan Valley, AZ 85140, Pinal County",San Tan Valley,AZ 85140,AZ,85140, Pinal County,
,13240 W Roy Rogers Rd,"Peoria, AZ 85383, Maricopa County",2025-07-31,10:00 am,,,AZ-25-1008298...,https://www.auction.com/details/13240-w-roy-rogers-rd-peoria-az-1776464,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Peoria, AZ 85383, Maricopa County",Peoria,AZ 85383,AZ,85383, Maricopa County,
,10124 W Raymond Street,"Tolleson, AZ 85353, Maricopa County",2025-07-31,10:00 am,,,25-02392-MS-A...,https://www.auction.com/details/10124-w-raymond-st-tolleson-az-1776500,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Tolleson, AZ 85353, Maricopa County",Tolleson,AZ 85353,AZ,85353, Maricopa County,
,6733 E Boise St,"Mesa, AZ 85205, Maricopa County",2025-07-31,10:00 am,,,22-028642-FC0...,https://www.auction.com/details/6733-e-boise-st-mesa-az-1776574,Auction.com,Shapiro - LOGS,(602) 638-5700,"Mesa, AZ 85205, Maricopa County",Mesa,AZ 85205,AZ,85205, Maricopa County,
,11510 East Prairie Avenue,"Mesa, AZ 85212, Maricopa County",2025-07-31,10:00 am,,,AZ-24-999625-...,https://www.auction.com/details/11510-e-prairie-ave-mesa-az-1778325,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Mesa, AZ 85212, Maricopa County",Mesa,AZ 85212,AZ,85212, Maricopa County,
,2058 S 160th Ln,"Goodyear, AZ 85338, Maricopa County",2025-07-31,10:00 am,,,25-73538,https://www.auction.com/details/2058-s-160th-ln-goodyear-az-1779625,Auction.com,"ZBS Law, LLP",(602) 282-6188,"Goodyear, AZ 85338, Maricopa County",Goodyear,AZ 85338,AZ,85338, Maricopa County,
,9027 S Calle Batoua,"Guadalupe, AZ 85283, Maricopa County",2025-07-31,10:00 am,,,AZ-25-1010798...,https://www.auction.com/details/9027-s-calle-batoua-guadalupe-az-1779653,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Guadalupe, AZ 85283, Maricopa County",Guadalupe,AZ 85283,AZ,85283, Maricopa County,
,16630 W Mescal St,"Surprise, AZ 85388, Maricopa County",2025-07-31,10:00 am,,,24-72113,https://www.auction.com/details/16630-w-mescal-st-surprise-az-1779656,Auction.com,"ZBS Law, LLP",(602) 282-6188,"Surprise, AZ 85388, Maricopa County",Surprise,AZ 85388,AZ,85388, Maricopa County,
,5915 N 68th Ave,"Glendale, AZ 85303, Maricopa County",2025-07-31,10:00 am,,,25-03029-LC-A...,https://www.auction.com/details/5915-n-68th-ave-glendale-az-1780363,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Glendale, AZ 85303, Maricopa County",Glendale,AZ 85303,AZ,85303, Maricopa County,
,2828 W Patagonia Ct,"San Tan Valley, AZ 85142, Pinal County",2025-07-31,10:00 am,,,AZ09000003-25,https://www.auction.com/details/2828-w-patagonia-ct-san-tan-valley-az-1782838,Auction.com,TRUSTEE CORPS,(949) 252-8300,"San Tan Valley, AZ 85142, Pinal County",San Tan Valley,AZ 85142,AZ,85142, Pinal County,
,12001 W Mountain View Drive,"Avondale, AZ 85323, Maricopa County",2025-07-31,10:00 am,,,AZ05000024-25,https://www.auction.com/details/12001-w-mountain-view-dr-avondale-az-1783267,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Avondale, AZ 85323, Maricopa County",Avondale,AZ 85323,AZ,85323, Maricopa County,
,4010 N 21st Dr,"Phoenix, AZ 85015, Maricopa County",2025-07-31,10:00 am,,,182425,https://www.auction.com/details/4010-n-21st-dr-phoenix-az-1785030,Auction.com,Prime Recon LLC,(888) 725-4142,"Phoenix, AZ 85015, Maricopa County",Phoenix,AZ 85015,AZ,85015, Maricopa County,
,3950 W. Windrose Dr,"Phoenix, AZ 85029, Maricopa County",2025-07-31,10:00 am,,,AZ05000083-24,https://www.auction.com/details/3950-w-windrose-dr-phoenix-az-1787443,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Phoenix, AZ 85029, Maricopa County",Phoenix,AZ 85029,AZ,85029, Maricopa County,
,2460 N 73rd Ln,"Phoenix, AZ 85035, Maricopa County",2025-07-31,10:00 am,,,AZ-25-1010530...,https://www.auction.com/details/2460-n-73rd-ln-phoenix-az-1787622,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Phoenix, AZ 85035, Maricopa County",Phoenix,AZ 85035,AZ,85035, Maricopa County,
,4561 S Ranger Trail,"Gilbert, AZ 85297, Maricopa County",2025-07-31,10:00 am,,,2025-00088-AZ,https://www.auction.com/details/4561s-s-ranger-trl-gilbert-az-1787728,Auction.com,Western Progressive,(866) 960-8299,"Gilbert, AZ 85297, Maricopa County",Gilbert,AZ 85297,AZ,85297, Maricopa County,
,6654 W Orange Dr,"Glendale, AZ 85301, Maricopa County",2025-07-31,10:00 am,,,23-40219,https://www.auction.com/details/6654-w-orange-dr-glendale-az-1787743,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Glendale, AZ 85301, Maricopa County",Glendale,AZ 85301,AZ,85301, Maricopa County,
,919 E Vineyard Rd,"Phoenix, AZ 85042, Maricopa County",2025-07-31,10:00 am,,,AZ09000086-24,https://www.auction.com/details/919-e-vineyard-rd-phoenix-az-1787752,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Phoenix, AZ 85042, Maricopa County",Phoenix,AZ 85042,AZ,85042, Maricopa County,
,20023 N 43rd Ln,"Glendale, AZ 85308, Maricopa County",2025-07-31,10:00 am,,,25-73282,https://www.auction.com/details/20023-n-43rd-ln-glendale-az-1787756,Auction.com,"ZBS Law, LLP",(602) 282-6188,"Glendale, AZ 85308, Maricopa County",Glendale,AZ 85308,AZ,85308, Maricopa County,
,3916 E Eugie Ave,"Phoenix, AZ 85032, Maricopa County",2025-07-31,10:00 am,,,126438-AZ,https://www.auction.com/details/3916-e-eugie-ave-phoenix-az-1787854,Auction.com,Aldridge Pite LLP,(858) 750-7777,"Phoenix, AZ 85032, Maricopa County",Phoenix,AZ 85032,AZ,85032, Maricopa County,
,23749 N Greer Loop,"Florence, AZ 85132, Pinal County",2025-07-31,10:00 am,,,AZ-25-1011686...,https://www.auction.com/details/23749-n-greer-loop-florence-az-1729077,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Florence, AZ 85132, Pinal County",Florence,AZ 85132,AZ,85132, Pinal County,
,335 S Stardust Ln,"Apache Junction, AZ 85120, Pinal County",2025-07-31,10:00 am,,,AZ05000030-25,https://www.auction.com/details/335-s-stardust-ln-apache-junction-az-1733466,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Apache Junction, AZ 85120, Pinal County",Apache Junction,AZ 85120,AZ,85120, Pinal County,
,1358 S Royal Palm Rd,"Apache Junction, AZ 85119, Pinal County",2025-07-31,10:00 am,,,TS 0000001040...,https://www.auction.com/details/1358-s-royal-palm-rd-apache-junction-az-1734011,Auction.com,Barrett Daffin Frappier Treder and Weiss,(866) 795-1852,"Apache Junction, AZ 85119, Pinal County",Apache Junction,AZ 85119,AZ,85119, Pinal County,
,4511 W. Palm Ln,"Phoenix, AZ 85035, Maricopa County",2025-07-31,10:00 am,,,AZ07000126-25,https://www.auction.com/details/4511-w-palm-ln-phoenix-az-1734223,Auction.com,TRUSTEE CORPS,(949) 252-8300,"Phoenix, AZ 85035, Maricopa County",Phoenix,AZ 85035,AZ,85035, Maricopa County,
,9952 W Clair Dr,"Sun City, AZ 85351, Maricopa County",2025-07-31,10:00 am,,,25-73544,https://www.auction.com/details/9952-w-clair-dr-sun-city-az-1734754,Auction.com,"ZBS Law, LLP",(602) 282-6188,"Sun City, AZ 85351, Maricopa County",Sun City,AZ 85351,AZ,85351, Maricopa County,
,282 W Atlantic Dr,"Casa Grande, AZ 85122, Pinal County",2025-07-31,10:00 am,,,25-03902-US-A...,https://www.auction.com/details/282-w-atlantic-dr-casa-grande-az-1735302,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Casa Grande, AZ 85122, Pinal County",Casa Grande,AZ 85122,AZ,85122, Pinal County,
,2182 N Tumaci Ct,"Casa Grande, AZ 85122, Pinal County",2025-07-31,10:00 am,,,25-04120-US-A...,https://www.auction.com/details/2182-n-tumaci-ct-casa-grande-az-1735304,Auction.com,"Tiffany & Bosco, PA",(602) 255-6000,"Casa Grande, AZ 85122, Pinal County",Casa Grande,AZ 85122,AZ,85122, Pinal County,
,901 N Coolidge Ave,"Casa Grande, AZ 85122, Pinal County",2025-07-31,10:00 am,,,AZ-24-1002535...,https://www.auction.com/details/901-n-coolidge-ave-casa-grande-az-1735624,Auction.com,Quality Loan Service Corporation,(866) 645-7711,"Casa Grande, AZ 85122, Pinal County",Casa Grande,AZ 85122,AZ,85122, Pinal County,
,4702 N 111th Dr,"Phoenix, AZ 85037, Maricopa County",2025-07-31,10:00 am,,,135156-AZ,https://www.auction.com/details/4702-n-111th-dr-phoenix-az-1736252,Auction.com,Aldridge Pite LLP,(858) 750-7777,"Phoenix, AZ 85037, Maricopa County",Phoenix,AZ 85037,AZ,85037, Maricopa County,
